,bIDs,heat
1215,1734,10
1216,1735,10
1217,1736,10
1218,1737,10
1219,1738,10
1220,1739,10
1221,1740,10
1222,1741,10
1223,1743,10
1224,1744,10
1225,1745,10
1226,1746,10
1227,1747,10
1228,1749,10
1229,1751,10
1230,1752,10
1231,1754,10
1232,1755,10
1233,1757,10
1234,1758,10
1235,1759,10
1236,1761,10
1237,1762,10
1238,1763,10
1239,1764,10
1240,1766,10
1241,1767,10
1242,1769,10
1243,1771,10
1244,1772,10
1245,1773,10
1246,1774,10
1247,1775,10
1248,1776,10
1249,1782,10
1250,1783,10
1251,1785,10
1252,1786,10
1253,1789,10
1254,1791,10
1255,1792,10
1256,1794,10
1257,1796,10
1258,1798,10
1259,1799,10
1260,1800,10
1261,1803,10
1262,1805,10
1263,1810,10
1264,1811,10
1265,1812,10
1266,1814,10
1267,1815,10
1268,1816,10
1269,1817,10
1270,1818,10
1271,1819,10
1272,1821,10
1273,1822,10
1274,1823,10
1275,1824,10
1276,1825,10
1277,1826,10
1278,1827,10
1279,1828,10
1280,1829,10
1281,1830,10
1282,1832,10
1283,1833,10
1284,1834,10
1285,1837,10
1286,1838,10
1287,1839,10
1288,1840,10
1289,1843,10
1290,1846,10
1291,1847,10
1292,1848,10
1293,1850,10
1294,1851,10
1295,1852,10
1296,1854,10
1297,1855,10
1298,1856,9
1299,1860,10
1300,1861,10
1301,1862,10
1302,1863,10
1303,1864,10
1304,1865,10
1305,1867,10
1306,1868,10
1307,1869,10
1308,1870,10
1309,1872,10
1310,1873,10
1311,1876,10
1312,1877,10
1313,1879,10
1314,1881,10
1315,1882,10
1316,1883,10
1317,1886,10
1318,1887,10
1319,1888,10
1320,1890,10
1321,1892,10
1322,1893,10
1323,1894,10
1324,1895,10
1325,1897,10
1326,1899,10
1327,1900,10
1328,1907,10
1329,1908,10
1330,1909,10
1331,1910,10
1332,1913,10
1333,1914,10
1334,1915,10
1335,1917,10
1336,1918,10
1337,1919,10
1338,1920,10
1339,1921,10
1340,1923,10
1341,1924,10
1342,1925,10
1343,1926,10
1344,1927,10
1345,1929,10
1346,1931,10
1347,1932,10
1348,1933,10
1349,1936,10
1350,1938,10
1351,1939,10
1352,1941,10
1353,1942,10
1354,1943,10
1355,1946,10
1356,1947,10
1357,1949,10
1358,1950,10
1359,1952,10
1360,1953,10
1361,1955,9
1362,1956,10
1363,1958,10
1364,1960,10
1365,1962,10
1366,1963,10
1367,1964,10
1368,1965,10
1369,1967,10
1370,1969,10
1371,1972,10
1372,1973,10
1373,1976,10
1374,1978,10
1375,1979,10
1376,1980,10
1377,1981,10
1378,1982,10
1379,1983,10
1380,1984,10
1381,1986,10
1382,1988,10
1383,1989,10
1384,1990,10
1385,1991,10
1386,1992,10
1387,1993,10
1388,1996,10
1389,1997,10
1390,1998,10
1391,1999,10
1392,2000,10
1393,2001,10
1394,2004,10
1395,2005,10
1396,2006,10
1397,2008,10
1398,2010,10
1399,2011,10
1400,2013,10
1401,2014,10
1402,2017,10
1403,2018,10
1404,2020,10
1405,2021,10
1406,2022,10
1407,2023,10
1408,2024,10
1409,2025,10
1410,2026,10
1411,2027,10
1412,2030,10
1413,2031,10
1414,2032,10
1415,2033,10
1416,2035,10
1417,2036,10
1418,2037,10
1419,2038,10
1420,2039,10
1421,2043,10
1422,2044,10
1423,2045,10
1424,2046,10
1425,2048,10
1426,2049,10
1427,2051,10
1428,2052,10
1429,2058,10
1430,2059,10
1431,2060,10
1432,2064,10
1433,2065,10
1434,2066,10
1435,2068,10
1436,2069,10
1437,2070,10
1438,2071,10
1439,2073,10
1440,2074,10
1441,2076,10
1442,2078,10
1443,2080,10
1444,2081,10
1445,2082,10
1446,2083,10
1447,2086,10
1448,2088,10
1449,2089,10
1450,2090,10
1451,2091,10
1452,2093,10
1453,2094,10
1454,2096,10
1455,2097,10
1456,2099,10
1457,2100,10
1458,2101,10
1459,2102,10
1460,2103,10
1461,2104,10
1462,2105,10
1463,2108,10
1464,2109,10
1465,2111,10
1466,2113,10
1467,2117,10
1468,2119,10
1469,2121,10
1470,2122,10
1471,2124,10
1472,2125,10
1473,2126,10
1474,2129,10
1475,2130,10
1476,2131,10
1477,2132,10
1478,2133,10
1479,2134,10
1480,2136,10
1481,2137,10
1482,2138,10
1483,2139,10
1484,2141,10
1485,2142,10
1486,2143,10
1487,2144,10
1488,2145,10
1489,2146,10
1490,2147,10
1491,2148,10
1492,2149,10
1493,2151,10
1494,2152,10
1495,2154,10
1496,2156,10
1497,2158,10
1498,2159,10
1499,2160,10
1500,2161,10
1501,2162,10
1502,2165,10
1503,2166,10
1504,2167,10
1505,2168,10
1506,2169,10
1507,2170,10
1508,2171,10
1509,2172,10
1510,2173,10
1511,2176,10
1512,2179,10
1513,2180,10
1514,2181,10
1515,2183,10
1516,2184,10
1517,2185,10
1518,2186,10
1519,2189,10
1520,2190,10
1521,2191,10
1522,2194,10
1523,2195,10
1524,2197,10
1525,2199,9
1526,2200,10
1527,2201,10
1528,2204,10
1529,2206,10
1530,2208,10
1531,2209,10
1532,2210,10
1533,2213,10
1534,2214,10
1535,2217,10
1536,2220,10
1537,2221,10
1538,2222,10
1539,2223,10
1540,2226,10
1541,2227,10
1542,2228,10
1543,2229,10
1544,2231,10
1545,2233,10
1546,2234,10
1547,2235,10
1548,2236,10
1549,2237,10
1550,2240,10
1551,2241,10
1552,2242,10
1553,2243,10
1554,2244,10
1555,2245,10
1556,2247,10
1557,2248,10
1558,2251,10
1559,2252,10
1560,2254,10
1561,2256,10
1562,2257,10
1563,2259,10
1564,2261,10
1565,2262,10
1566,2263,10
1567,2264,10
1568,2266,10
1569,2267,10
1570,2268,10
1571,2269,10
1572,2270,10
1573,2271,10
1574,2272,10
1575,2273,10
1576,2274,10
1577,2275,10
1578,2277,10
1579,2279,10
1580,2280,10
1581,2282,10
1582,2283,10
1583,2284,10
1584,2285,10
1585,2288,10
1586,2289,10
1587,2290,10
1588,2291,10
1589,2292,10
1590,2293,10
1591,2295,10
1592,2296,10
1593,2297,10
1594,2298,10
1595,2299,10
1596,2300,10
1597,2301,10
1598,2302,10
1599,2303,10
1600,2304,10
1601,2305,10
1602,2306,10
1603,2307,10
1604,2308,10
1605,2310,10
1606,2311,10
1607,2312,10
1608,2315,10
1609,2316,10
1610,2317,10
1611,2318,10
1612,2319,10
1613,2320,10
1614,2322,10
1615,2323,10
1616,2325,10
1617,2326,10
1618,2327,10
1619,2329,10
1620,2330,10
1621,2331,10
1622,2334,10
1623,2335,10
1624,2336,10
1625,2337,10
1626,2338,10
1627,2339,10
1628,2341,10
1629,2342,10
1630,2343,10
1631,2345,10
1632,2347,10
1633,2350,10
1634,2351,10
1635,2352,10
1636,2355,10
1637,2357,10
1638,2358,10
1639,2362,10
1640,2363,10
1641,2365,10
1642,2366,10
1643,2367,10
1644,2369,10
1645,2371,9
1646,2372,10
1647,2373,10
1648,2374,10
1649,2375,10
1650,2376,10
1651,2379,10
1652,2381,10
1653,2382,10
1654,2383,10
1655,2384,10
1656,2385,10
1657,2388,10
1658,2389,10
1659,2390,10
1660,2394,10
1661,2396,10
1662,2397,10
1663,2399,10
1664,2404,10
1665,2406,10
1666,2408,10
1667,2409,10
1668,2411,10
1669,2412,10
1670,2413,10
1671,2414,10
1672,2415,10
1673,2416,10
1674,2417,10
1675,2418,10
1676,2420,10
1677,2422,10
1678,2423,10
1679,2426,10
1680,2427,10
1681,2428,10
1682,2429,10
1683,2431,10
1684,2433,10
1685,2434,10
1686,2437,10
1687,2438,10
1688,2441,10
1689,2442,10
1690,2443,10
1691,2444,10
1692,2445,10
1693,2447,10
1694,2448,10
1695,2451,10
1696,2452,10
1697,2453,10
1698,2454,10
1699,2455,10
1700,2456,10
1701,2458,10
1702,2459,10
1703,2462,10
1704,2463,10
1705,2464,10
1706,2465,10
1707,2466,10
1708,2469,10
1709,2470,10
1710,2474,10
1711,2475,10
1712,2476,10
1713,2477,10
1714,2479,10
1715,2480,10
1716,2481,10
1717,2482,10
1718,2483,10
1719,2484,10
1720,2485,10
1721,2487,10
1722,2490,10
1723,2491,10
1724,2492,10
1725,2494,10
1726,2496,10
1727,2497,10
1728,2498,10
1729,2499,10
1730,2500,10
1731,2501,10
1732,2503,10
1733,2504,10
1734,2506,10
1735,2508,10
1736,2509,10
1737,2510,10
1738,2511,10
1739,2512,10
1740,2514,10
1741,2515,10
1742,2516,10
1743,2517,10
1744,2519,10
1745,2521,10
1746,2522,10
1747,2524,10
1748,2525,10
1749,2526,10
1750,2527,10
1751,2528,10
1752,2529,10
1753,2530,10
1754,2531,10
1755,2532,10
1756,2533,10
1757,2535,10
1758,2536,10
1759,2537,10
1760,2538,10
1761,2539,10
1762,2540,10
1763,2541,10
1764,2542,10
1765,2544,10
1766,2546,10
1767,2548,10
1768,2549,10
1769,2550,10
1770,2551,10
1771,2552,10
1772,2554,10
1773,2557,10
1774,2558,10
1775,2559,10
1776,2560,10
1777,2561,10
1778,2562,10
1779,2563,10
1780,2567,10
1781,2568,10
1782,2569,9
1783,2570,10
1784,2573,10
1785,2575,10
1786,2576,10
1787,2579,10
1788,2580,10
1789,2582,10
1790,2584,10
1791,2585,10
1792,2586,10
1793,2587,10
1794,2589,10
1795,2591,10
1796,2596,10
1797,2597,10
1798,2598,10
1799,2600,10
1800,2601,10
1801,2602,10
1802,2603,10
1803,2607,10
1804,2609,10
1805,2610,10
1806,2611,10
1807,2612,10
1808,2613,10
1809,2614,10
1810,2615,10
1811,2616,10
1812,2617,10
1813,2619,10
1814,2620,10
1815,2621,10
1816,2622,10
1817,2624,10
1818,2625,10
1819,2627,10
1820,2628,10
1821,2629,10
1822,2630,10
1823,2631,10
1824,2632,10
1825,2634,10
1826,2639,10
1827,2640,10
1828,2643,10
1829,2644,10
1830,2645,10
1831,2647,10
1832,2649,10
1833,2651,10
1834,2653,10
1835,2656,10
1836,2657,10
1837,2658,10
1838,2659,10
1839,2661,10
1840,2662,10
1841,2663,10
1842,2664,10
1843,2666,10
1844,2667,10
1845,2668,10
1846,2670,10
1847,2671,10
1848,2672,10
1849,2674,10
1850,2675,10
1851,2676,10
1852,2677,10
1853,2678,10
1854,2680,10
1855,2683,10
1856,2684,10
1857,2685,10
1858,2686,10
1859,2687,10
1860,2688,10
1861,2689,10
1862,2690,10
1863,2691,10
1864,2693,10
1865,2694,10
1866,2696,10
1867,2697,10
1868,2698,10
1869,2699,10
1870,2700,10
1871,2702,10
1872,2703,10
1873,2704,10
1874,2705,10
1875,2708,10
1876,2709,10
1877,2710,10
1878,2711,10
1879,2712,10
1880,2714,10
1881,2717,10
1882,2718,10
1883,2719,10
1884,2720,10
1885,2721,10
1886,2723,10
1887,2724,10
1888,2725,10
1889,2726,10
1890,2727,10
1891,2729,10
1892,2730,10
1893,2731,10
1894,2732,10
1895,2733,10
1896,2735,10
1897,2736,10
1898,2737,10
1899,2739,10
1900,2740,10
